Style Id,Size,Qty,Parent ASIN,SKU,Create FBA listing,Barcode,Lengt,Width,Depth,Column1,Column2
21TE055ELLDZ,4T,36,B017QCWCW8,21TE055ELLDZ-4T,Y,886166944897,8.5,7,1.5,886166909599,
21TE062ERDZA,2T,u pic,B015ULDUNM,21TE062ERDZA-1-2T,N,638872476076,8.5,6.5,2,015ULDUNM015ULDUNM212478765,
21TE062ERDZA,3T,,B015ULDUNM,21TE062ERDZA-1-3T,N,886166987467,,,,015ULDUNM015ULDUNM616981665,
21TE062ERDZA,4T,,B015ULDUNM,21TE062ERDZA-1-4T,N,886166987474,,,,015ULDUNM015ULDUNM616981665,
21TS001BSLDZ,10,18,B00TSR5CS6,21TS001BSLDZ-2-10,N,030915953368,9.5,7.5,1.875,6651595910,
21TS001BSLDZ,8,30,B00TSR5CS6,21TS001BSLDZ-2-8,N,030915953351,9.5,7.5,1.375,6651595910,
25j3267SU,2T,20,B018HMV7E0,25j3267SU-2T,N,024054382943,8,7,1,00454380568,
25j3267SU,3T,20,B018HMV7E0,25j3267SU-3T,N,024054382950,8,7.5,1,00454380568,
25j3267SU,4T,20,B018HMV7E0,25j3267SU-4T,N,024054382967,8,7.5,1,00454380568,
CI020,6,30,B00MA8ZT2E,CI020-2-6,Y,638872478445,9,7.5,0.75,,
CI020,8,30,B00MA8ZT2E,CI020-2-8,Y,638872478452,9,7.5,0.875,,
DP148,4,30,B00MA8ZT2E,DP148-4,Y,030915983969,9,8,0.375,889799036915,
DP148,6,40,B00MA8ZT2E,DP148-6,Y,030915983976,9,8,0.375,889799036922,
K157329EA,10,30,B00L6742X2,K157329EA-10,N,000716296452,11.5,8.5,1.5,226157329629712,
K157329EA,6,10,B00L6742X2,K157329EA-6,N,000716296438,10,8.5,1.25,226157329629712,
K157329EA,8,30,B00L6742X2,K157329EA-8,N,000716296445,11.5,8.5,1.5,226157329629712,
K157358SM,4/5,30,B00M9JXPCU,K157358SM-4/5,Y,000716292218,8.5,8,0.75,9JXPCU9JXPCU6157358629715,
K157358SM,6/7,30,B00M9JXPCU,K157358SM-6/7,Y,000716292225,9,8,1,9JXPCU9JXPCU6157358629715,
K157358SM,8,30,B00M9JXPCU,K157358SM-8,Y,000716292232,9.5,8,1,9JXPCU9JXPCU6157358629715,
K157386PN,2T,10,B00NIKYATQ,K157386PN-2-2T,N,638872477509,9,8,0.375,00NIKYATQ00NIKYATQ2157386247878,
K157386PN,3T,30,B00NIKYATQ,K157386PN-2-3T,N,638872477516,9,8,0.375,00NIKYATQ00NIKYATQ2157386247878,
K157386PN,4T,30,B00NIKYATQ,K157386PN-2-4T,N,638872477523,9,8,0.375,00NIKYATQ00NIKYATQ2157386247878,
