Product,Package,Weight,A,B,C,D,E,F,G,MJ,MK,I,L,M,N,P,N
P,Commodities,132 lb,169.31,208.98,316.54,378.95,820.87,309.65,410.35,359.34,434.64,783.66,577.92,963.15,209.85,242.07,435.03
P,Commodities,133 lb,170.58,210.45,318.75,381.8,826.76,311.79,413.53,362.08,438,789.04,582.41,969.87,211.42,243.88,438.34
P,Commodities,134 lb,171.84,211.91,320.96,384.65,832.67,313.94,416.68,364.84,441.35,794.42,586.93,976.58,212.99,245.68,441.65
P,Commodities,135 lb,173.09,213.36,323.17,387.51,838.56,316.08,419.86,367.59,444.71,799.82,591.42,983.28,214.55,247.49,444.95
P,Commodities,136 lb,174.35,214.82,325.39,390.34,844.48,318.23,423.04,370.33,448.07,805.2,595.94,989.99,216.13,249.31,448.26
P,Commodities,137 lb,175.61,216.28,327.6,393.2,850.38,320.37,426.21,373.07,451.42,810.59,600.44,996.71,217.69,251.11,451.57
P,Commodities,138 lb,176.87,217.75,329.81,396.05,856.28,322.52,429.39,375.82,454.78,815.96,604.95,1003.41,219.26,252.92,454.87
P,Commodities,139 lb,178.12,219.21,332.02,398.89,862.18,324.66,432.54,378.56,458.14,821.36,609.45,1010.12,220.84,254.73,458.18
P,Commodities,140 lb,179.39,220.66,334.23,401.75,868.09,326.81,435.72,381.31,461.49,826.75,613.96,1016.84,222.4,256.53,461.49
P,Commodities,141 lb,180.65,222.12,336.44,404.6,873.99,328.95,438.89,384.07,464.85,832.13,618.46,1023.54,223.96,258.34,464.8
P,Commodities,142 lb,181.91,223.58,338.65,407.45,879.89,331.1,442.07,386.81,468.2,837.53,622.95,1030.24,225.53,260.14,468.1
P,Commodities,143 lb,183.16,225.05,340.87,410.29,885.79,333.25,445.25,389.56,471.56,842.91,627.47,1036.94,227.11,261.95,471.41
P,Commodities,144 lb,184.42,226.51,343.08,413.14,891.71,335.39,448.4,392.31,474.92,848.29,631.96,1043.66,228.67,263.76,474.72
P,Commodities,145 lb,185.68,227.96,345.29,416,897.6,337.54,451.58,395.05,478.27,853.69,636.48,1050.36,230.24,265.56,478.02
P,Commodities,146 lb,186.93,229.42,347.5,418.85,903.51,339.68,454.75,397.79,481.64,859.07,640.98,1057.07,231.81,267.38,481.33
P,Commodities,147 lb,188.2,230.89,349.71,421.69,909.4,341.83,457.93,400.54,484.99,864.46,645.49,1063.78,233.38,269.19,484.64
P,Commodities,148 lb,189.46,232.35,351.92,424.55,915.32,343.97,461.11,403.28,488.34,869.85,649.99,1070.49,234.94,270.99,487.95
P,Commodities,149 lb,190.72,233.81,354.14,427.4,921.21,346.12,464.26,406.05,491.71,875.24,654.51,1077.2,236.52,272.8,491.25
P,Commodities,150 lb,191.98,235.26,356.35,430.24,927.12,348.26,467.44,408.79,495.06,880.62,659,1083.91,238.08,274.61,494.56
,,Per Lb.,1.28,1.58,2.4,2.87,6.24,2.35,3.15,2.82,3.29,5.87,4.42,7.32,1.58,1.84,3.31
