WM Price,Amz Price,dif,Price,Change Pr,WM ItemId,SKU,Style Id,Size,comments
18.99,18.39,$0.60,18.39,Y,102813373,21DM263GBSDZ-2-6,21DM263GBSDZ,6,
18.99,18.39,$0.60,18.39,Y,184590657,21DM263GBSDZ-2-8,21DM263GBSDZ,8,
16.99,16.49,$0.50,16.49,Y,186561733,21FZ025TLLZA-2-4T,21FZ025TLLZA,4T,
22.99,22.49,$0.50,22.49,Y,165644820,21TD012GLLDZ-2-6,21TD012GLLDZ,6,
12.99,12.49,$0.50,12.49,Y,159795961,K157796CU-2-2T,K157796CU,2T,
12.99,12.49,$0.50,12.49,Y,119946978,K157796CU-2-3T,K157796CU,3T,
14.99,14.49,$0.50,14.49,Y,165727285,K157861PP-2-2T,K157861PP,2T,
14.99,14.5,$0.49,14.5,Y,197652803,FH-VZH7-0IEK,21AG001SLBPSS,8,
14.99,14.89,$0.10,14.89,Y,167534580,F15b59LW-2-XS,F15b59LW,4/5,
19.97,19.89,$0.08,19.89,Y,153668091,21TE062ERDZA-1-3T,21TE062ERDZA,3T,
